Book	Unit	Count	Url
Destination B2	1	151	Destination_B2/Unit0001.tsv
Destination B2	2	190	Destination_B2/Unit0002.tsv
Destination B2	3	167	Destination_B2/Unit0003.tsv
Reading Explorer B2	1	24	RExplorer_B2/Unit0001.tsv
Reading Explorer B2	2	33	RExplorer_B2/Unit0002.tsv
Reading Explorer B2	3	19	RExplorer_B2/Unit0003.tsv
Reading Explorer B2	4	32	RExplorer_B2/Unit0004.tsv
Từ vựng IELTS 8.0	1	16	IELTS8/Unit0001.tsv
Từ vựng IELTS 8.0	2	16	IELTS8/Unit0002.tsv
Từ vựng IELTS 8.0	3	10	IELTS8/Unit0003.tsv
Từ vựng IELTS 8.0	4	16	IELTS8/Unit0004.tsv
Từ vựng IELTS 8.0	5	18	IELTS8/Unit0005.tsv
Từ vựng IELTS 8.0	6	18	IELTS8/Unit0006.tsv
Từ vựng IELTS 8.0	7	20	IELTS8/Unit0007.tsv
Từ vựng IELTS 8.0	8	16	IELTS8/Unit0008.tsv
Từ vựng IELTS 8.0	9	18	IELTS8/Unit0009.tsv
